"FS15","23","htj3o8"
"","","scrbtj"
"","","testnm"
"WS16","3","fartal"
"","","chesler"
"","","twiant"
"FS16","12","schoik"
"","","kbmxr6"
"","","sconce3"
"","","paulus"
"","","filson"
"","","basset"
"","","levery"
"","","uncldn"
"","","scrblu"
"FS17","13","jba8t3"
"","","fratmk"
"","","morty5"
"","","champ6"
"","","shane8"
"","","hoagen"
"","","limpba"
"","","skidny"
"","","dracoo"
"","","wiggin"
"","","augdog"
"","","craven"
"WS18","3","gurman"
"","","bengib"
"","","joefan"
"FS18","18","bbybag"
"","","samgrk"
"","","willrh"
"","","natewd"
"","","jordyo"
"","","ethbry"
"","","tybrad"
